,index,removed_stopword,removed_punctuation,Updated,w2v kmeans,w2v pca kmeans,w2v tfidf kmeans,w2v tfidf pca kmeans,w2v Hierarchical,w2v pca Hierarchical,w2v tfidf Hierarchical,Hw2v_tfidf_pca_euclidean_labels
180,180,"channels status based grievance resolution guidelines, operate four types grievance resolution channels: hotline, online, offline channels, works councils. channels provided various languages. addition, worksites employing migrant workers provide information grievance resolution channels native lan- guages enhance employee accessibility grievance channel effectiveness. furthermore, operate samsung electronics' global business ethics & compliance system, corporate hotline, email account listen opinions various external stakeholders. footnotes: 1) 300 channels 29 worksites, march 2020 2) https://sec-audit.com 3) https://www.samsung.com/sec, +82-2-2255-0114 4) civilsociety@samsung.com",channels status based grievance resolution guidelines operate four types grievance resolution channels hotline online offline channels works councils channels provided various languages addition worksites employing migrant workers provide information grievance resolution channels native lan guages enhance employee accessibility grievance channel effectiveness furthermore operate samsung electronics global business ethics  compliance system corporate hotline email account listen opinions various external stakeholders footnotes 1 300 channels 29 worksites march 2020 2 httpssecauditcom 3 httpswwwsamsungcomsec +82222550114 4 civilsocietysamsungcom, channel statu base grievanc resolut guidelin oper four type grievanc resolut channel hotlin onlin offlin channel work council channel provid variou languag addit worksit employ migrant worker provid inform grievanc resolut channel nativ lan guag enhanc employe access grievanc channel effect furthermor oper samsung electron global busi ethic  complianc system corpor hotlin email account listen opinion variou extern stakehold footnot 1 300 channel 29 worksit march 2020 2 httpssecauditcom 3 httpswwwsamsungcomsec +82222550114 4 civilsocietysamsungcom ,0,0,0,3,1,9,1,1
155,155,"ensure transparent disclosure grievance resolution process, prohibition disadvantageous treatment file complaints, protection employees actual procedural rights grievance resolution process",ensure transparent disclosure grievance resolution process prohibition disadvantageous treatment file complaints protection employees actual procedural rights grievance resolution process, ensur transpar disclosur grievanc resolut process prohibit disadvantag treatment file complaint protect employe actual procedur right grievanc resolut process ,6,0,8,8,1,4,8,7
156,156,"labor human rights policies established robust set labor human rights policies based on: universal declaration human rights, united nations guiding principles business human rights (ungps); organization economic co-operation development (oecd) guidelines multinational enterprises; un convention rights child (uncrc); international labour organization (ilo) declaration fundamental principles rights work; ilo core conventions. abide code conduct responsible business alliance (rba) comply laws regulations countries conduct business. protect labor human rights, established various policies regularly evaluate compliance status explore ways enhance policies. addition, strive protect human rights vulnerable groups, children juvenile workers, migrant workers, apprentices. furthermore, united kingdom, comply united kingdom's modern slavery act 2015 issue dedicated statement compliance every year. also taking reference law prevent forced labor human trafficking suppliers' worksites strengthening managerial system stakeholder engagement countries well.",labor human rights policies established robust set labor human rights policies based on universal declaration human rights united nations guiding principles business human rights ungps organization economic cooperation development oecd guidelines multinational enterprises un convention rights child uncrc international labour organization ilo declaration fundamental principles rights work ilo core conventions abide code conduct responsible business alliance rba comply laws regulations countries conduct business protect labor human rights established various policies regularly evaluate compliance status explore ways enhance policies addition strive protect human rights vulnerable groups children juvenile workers migrant workers apprentices furthermore united kingdom comply united kingdoms modern slavery act 2015 issue dedicated statement compliance every year also taking reference law prevent forced labor human trafficking suppliers worksites strengthening managerial system stakeholder engagement countries well, labor human right polici establish robust set labor human right polici base on univers declar human right unit nation guid principl busi human right ungp organ econom cooper develop oecd guidelin multin enterpris un convent right child uncrc intern labour organ ilo declar fundament principl right work ilo core convent abid code conduct respons busi allianc rba compli law regul countri conduct busi protect labor human right establish variou polici regularli evalu complianc statu explor way enhanc polici addit strive protect human right vulner group children juvenil worker migrant worker apprentic furthermor unit kingdom compli unit kingdom modern slaveri act 2015 issu dedic statement complianc everi year also take refer law prevent forc labor human traffick supplier worksit strengthen manageri system stakehold engag countri well ,6,0,3,2,1,4,7,5
179,179,"grievance resolution recognize grievance, understood perceived injustice evoking individual's group's sense enti- tlement according ungps, kind proposal claim raised employees, including complaints working environment.",grievance resolution recognize grievance understood perceived injustice evoking individuals groups sense enti tlement according ungps kind proposal claim raised employees including complaints working environment, grievanc resolut recogn grievanc understood perceiv injustic evok individu group sens enti tlement accord ungp kind propos claim rais employe includ complaint work environ ,0,0,0,8,1,9,8,1
175,175,works council total 42 worksites around world operate works councils accordance laws respective coun- tries requirements site. employees elect representatives principle direct anonymous voting.,works council total 42 worksites around world operate works councils accordance laws respective coun tries requirements site employees elect representatives principle direct anonymous voting, work council total 42 worksit around world oper work council accord law respect coun tri requir site employe elect repres principl direct anonym vote ,6,0,4,9,1,4,5,0
174,174,"global investor communication hold ir esg roadshows north america, europe, asia global investors share sustainability man- agement performance plans, question answer session topics human rights impact assessment (hria). reflect investors' opinions sustainability management plan activities con- tinue strengthen investor communication using various channels.",global investor communication hold ir esg roadshows north america europe asia global investors share sustainability man agement performance plans question answer session topics human rights impact assessment hria reflect investors opinions sustainability management plan activities con tinue strengthen investor communication using various channels, global investor commun hold ir esg roadshow north america europ asia global investor share sustain man agement perform plan question answer session topic human right impact assess hria reflect investor opinion sustain manag plan activ con tinu strengthen investor commun use variou channel ,6,0,8,1,1,4,0,7
172,172,"human rights impact assessment (hria) communication 2018 2019 vietnam, conducted human rights impact assessment (hria) based three prin- ciples ungps: protection, respect, remedy. objective review, identified potential labor human rights risks expert support bsr employee interviews, document reviews stakeholders engage- ment. detect human rights violations need immediate action, established remediation mitigation measures areas progress could made, using recommendations bsr. part continuous improvement efforts, share findings, recommendations, multiyear action plan stakeholders involved interested hria.",human rights impact assessment hria communication 2018 2019 vietnam conducted human rights impact assessment hria based three prin ciples ungps protection respect remedy objective review identified potential labor human rights risks expert support bsr employee interviews document reviews stakeholders engage ment detect human rights violations need immediate action established remediation mitigation measures areas progress could made using recommendations bsr part continuous improvement efforts share findings recommendations multiyear action plan stakeholders involved interested hria, human right impact assess hria commun 2018 2019 vietnam conduct human right impact assess hria base three prin cipl ungp protect respect remedi object review identifi potenti labor human right risk expert support bsr employe interview document review stakehold engag ment detect human right violat need immedi action establish remedi mitig measur area progress could made use recommend bsr part continu improv effort share find recommend multiyear action plan stakehold involv interest hria ,6,0,1,5,1,4,2,5
161,161,"labor human rights impact & risk management global labor issues (gli) committee manages impacts risks labor human rights. gli com- mittee, convenes bi-weekly discuss labor human rights issues, consists executives working-level employees five functions (human resources team, legal office, partner collaboration center, global public affairs team, global ehs center). important matters escalated sustainability council, consists key executives, reported top management.",labor human rights impact  risk management global labor issues gli committee manages impacts risks labor human rights gli com mittee convenes biweekly discuss labor human rights issues consists executives workinglevel employees five functions human resources team legal office partner collaboration center global public affairs team global ehs center important matters escalated sustainability council consists key executives reported top management, labor human right impact  risk manag global labor issu gli committe manag impact risk labor human right gli com mitte conven biweekli discuss labor human right issu consist execut workinglevel employe five function human resourc team legal offic partner collabor center global public affair team global eh center import matter escal sustain council consist key execut report top manag ,0,0,1,5,1,9,2,5
162,162,labor human rights impact & risk identification operate system identifies monitors factors affect employees' labor human rights range internal external channels.,labor human rights impact  risk identification operate system identifies monitors factors affect employees labor human rights range internal external channels, labor human right impact  risk identif oper system identifi monitor factor affect employe labor human right rang intern extern channel ,6,0,1,5,1,4,2,5
171,171,"stakeholder engagement samsung electronics communicate stakeholders various channels, addressing position interests well major activities. well hosting multi stakeholder forums vietnam, actively par- ticipate initiatives responsible labor initiative (rli) rba, communicate investors ir esg (environmental, social, governance) roadshows. communicate employees ensure respect employees' rights improve employees' working conditions. also engage continuous dialogue seek mutual solutions detect prevent potential risk factors.",stakeholder engagement samsung electronics communicate stakeholders various channels addressing position interests well major activities well hosting multi stakeholder forums vietnam actively par ticipate initiatives responsible labor initiative rli rba communicate investors ir esg environmental social governance roadshows communicate employees ensure respect employees rights improve employees working conditions also engage continuous dialogue seek mutual solutions detect prevent potential risk factors, stakehold engag samsung electron commun stakehold variou channel address posit interest well major activ well host multi stakehold forum vietnam activ par ticip initi respons labor initi rli rba commun investor ir esg environment social govern roadshow commun employe ensur respect employe right improv employe work condit also engag continu dialogu seek mutual solut detect prevent potenti risk factor ,6,0,9,0,1,4,2,3
164,164,"listening employee opinions listen employees understand needs concerns labor human rights vari- ety communication channels. 2019, example, held 30 top management-led townhall meetings, attended 14,260 employees south korea. attendants informed business updates participated question answer session management various agenda including work environment benefits. out- side south korea, heads subsidiaries hosted 236 similar sessions, 77,329 employees attended. addition, encourage department heads meet frequently team members discuss matters related work rela- tionships career development. total 766 meetings held 21,182 employees attended. footnote: 1) including duplicate attendees",listening employee opinions listen employees understand needs concerns labor human rights vari ety communication channels 2019 example held 30 top managementled townhall meetings attended 14260 employees south korea attendants informed business updates participated question answer session management various agenda including work environment benefits out side south korea heads subsidiaries hosted 236 similar sessions 77329 employees attended addition encourage department heads meet frequently team members discuss matters related work rela tionships career development total 766 meetings held 21182 employees attended footnote 1 including duplicate attendees, listen employe opinion listen employe understand need concern labor human right vari eti commun channel 2019 exampl held 30 top managementl townhal meet attend 14260 employe south korea attend inform busi updat particip question answer session manag variou agenda includ work environ benefit out side south korea head subsidiari host 236 similar session 77329 employe attend addit encourag depart head meet frequent team member discuss matter relat work rela tionship career develop total 766 meet held 21182 employe attend footnot 1 includ duplic attende ,6,0,0,3,1,4,1,1
170,170,"responsible business alliance audit management system member responsible business alliance (rba), apply code conduct across businesses supply chain. use rba on-site audit protocols identify working environment risks labor, health safety, environment, business ethics, management system implement corrective action plans. 2019, worked rba approved auditing firms assess compliance local labor laws rba assess- ment standards ten production sites four countries. result, two worksites brazil - campinas manaus - received rba one star award first time among production sites. three requirements award minimum silver grade rba-vap (validated assessment program) on-site audit, fully functioning workers forum operated worksite, trained one rba certified factory lead. footnote: 1) factories minimum vap score 160 priority findings closed",responsible business alliance audit management system member responsible business alliance rba apply code conduct across businesses supply chain use rba onsite audit protocols identify working environment risks labor health safety environment business ethics management system implement corrective action plans 2019 worked rba approved auditing firms assess compliance local labor laws rba assess ment standards ten production sites four countries result two worksites brazil  campinas manaus  received rba one star award first time among production sites three requirements award minimum silver grade rbavap validated assessment program onsite audit fully functioning workers forum operated worksite trained one rba certified factory lead footnote 1 factories minimum vap score 160 priority findings closed, respons busi allianc audit manag system member respons busi allianc rba appli code conduct across busi suppli chain use rba onsit audit protocol identifi work environ risk labor health safeti environ busi ethic manag system implement correct action plan 2019 work rba approv audit firm assess complianc local labor law rba assess ment standard ten product site four countri result two worksit brazil  campina manau  receiv rba one star award first time among product site three requir award minimum silver grade rbavap valid assess program onsit audit fulli function worker forum oper worksit train one rba certifi factori lead footnot 1 factori minimum vap score 160 prioriti find close ,6,0,0,8,1,4,1,1
147,147,compliance international human rights guidelines un guiding principles business human rights rba code conduct well local laws regulations,compliance international human rights guidelines un guiding principles business human rights rba code conduct well local laws regulations, complianc intern human right guidelin un guid principl busi human right rba code conduct well local law regul ,6,0,1,5,1,4,2,5
228,228,"[goal 16] promote peaceful inclusive societies sustainable development, provide access justice build effective, accountable inclusive institutions levels",goal 16 promote peaceful inclusive societies sustainable development provide access justice build effective accountable inclusive institutions levels, goal 16 promot peac inclus societi sustain develop provid access justic build effect account inclus institut level ,6,0,0,3,1,4,1,1
201,201,"samsung privacy portal respect customers' right make choices use personal information. 2019, launched sam- sung privacy portal, dedicated website gives comprehensive overview manage personal data. site, customers check status devices services linked samsung account, view latest privacy policy. footnote: 1) samsung privacy: https://privacy.samsung.com/#/",samsung privacy portal respect customers right make choices use personal information 2019 launched sam sung privacy portal dedicated website gives comprehensive overview manage personal data site customers check status devices services linked samsung account view latest privacy policy footnote 1 samsung privacy httpsprivacysamsungcom, samsung privaci portal respect custom right make choic use person inform 2019 launch sam sung privaci portal dedic websit give comprehens overview manag person data site custom check statu devic servic link samsung account view latest privaci polici footnot 1 samsung privaci httpsprivacysamsungcom ,0,0,5,1,1,9,0,4
143,143,"kvadrat phone case - plastic waste turned smartphone case cover partnership premium dan- ish textile brand kvadrat, developed special galaxy s20+ case cover, made recycled plastic waste. two phone cases created yarns made one 500ml plastic bottle. this, minimize environmental impacts reducing plastic bottle waste, encour- age upcycling creating new products. addition, kvadrat's recycled materials pro- duction process consumes less energy conventional materials production pro- cesses, reducing co emissions manufacturing process. part support united nations sustainability development goals, donated portion revenue case sales united nations develop- ment program programme(undp).",kvadrat phone case  plastic waste turned smartphone case cover partnership premium dan ish textile brand kvadrat developed special galaxy s20+ case cover made recycled plastic waste two phone cases created yarns made one 500ml plastic bottle this minimize environmental impacts reducing plastic bottle waste encour age upcycling creating new products addition kvadrats recycled materials pro duction process consumes less energy conventional materials production pro cesses reducing co emissions manufacturing process part support united nations sustainability development goals donated portion revenue case sales united nations develop ment program programmeundp, kvadrat phone case  plastic wast turn smartphon case cover partnership premium dan ish textil brand kvadrat develop special galaxi s20+ case cover made recycl plastic wast two phone case creat yarn made one 500ml plastic bottl thi minim environment impact reduc plastic bottl wast encour age upcycl creat new product addit kvadrat recycl materi pro duction process consum less energi convent materi product pro cess reduc co emiss manufactur process part support unit nation sustain develop goal donat portion revenu case sale unit nation develop ment program programmeundp ,6,0,4,3,1,4,1,0
123,123,"12.2 2030, achieve sustainable management efficient use natural resources 12.5 2030, substantially reduce waste generation prevention, reduction, recycling reuse",122 2030 achieve sustainable management efficient use natural resources 125 2030 substantially reduce waste generation prevention reduction recycling reuse, 122 2030 achiev sustain manag effici use natur resourc 125 2030 substanti reduc wast gener prevent reduct recycl reus ,6,0,0,8,1,4,8,1
224,224,fund used occupational safety health center related infrastructure workers electronics industry.,fund used occupational safety health center related infrastructure workers electronics industry, fund use occup safeti health center relat infrastructur worker electron industri ,6,0,4,9,1,4,5,0
221,221,ensures company fulfills corporate social responsibility enhances shareholder value composed six independent directors,ensures company fulfills corporate social responsibility enhances shareholder value composed six independent directors, ensur compani fulfil corpor social respons enhanc sharehold valu compos six independ director ,0,0,9,0,1,9,5,3
126,126,"circular economy principles natural resources run consumers demand sustainable products rise, sustainability across stages becoming increasingly important, materials purchasing, development, manufacturing logistics, use disposal. need make transformation linear economy consumes resources single-use, circular economy close loop expand reuse recycling resources. established circular economy principles minimize social environmental impacts use resources efficiently throughout entire product life cycle. based principles, developed mid-to long-term goals 2030 making efforts achieve them.",circular economy principles natural resources run consumers demand sustainable products rise sustainability across stages becoming increasingly important materials purchasing development manufacturing logistics use disposal need make transformation linear economy consumes resources singleuse circular economy close loop expand reuse recycling resources established circular economy principles minimize social environmental impacts use resources efficiently throughout entire product life cycle based principles developed midto longterm goals 2030 making efforts achieve them, circular economi principl natur resourc run consum demand sustain product rise sustain across stage becom increasingli import materi purchas develop manufactur logist use dispos need make transform linear economi consum resourc singleus circular economi close loop expand reus recycl resourc establish circular economi principl minim social environment impact use resourc effici throughout entir product life cycl base principl develop midto longterm goal 2030 make effort achiev them ,6,0,8,8,1,4,8,1
220,220,"supervises matters concerning overall management, including company's financial status composed three independent directors",supervises matters concerning overall management including companys financial status composed three independent directors, supervis matter concern overal manag includ compani financi statu compos three independ director ,0,0,9,9,1,9,5,0
576,576,work support system employees disabilities scored 100 100 human rights campaign foundation's corporate equality index,work support system employees disabilities scored 100 100 human rights campaign foundations corporate equality index, work support system employe disabl score 100 100 human right campaign foundat corpor equal index ,6,0,4,3,1,4,1,0
435,435,"employee networking communication proud promote events gatherings female employ- ees create culture promotes womens rights. employ- ees voluntarily formed employee resource groups (ergs) ded- icated d&i strive enhance networking opportunities female employees. united states, hold seoul sisters con- ference support benchmark various d&i programs. inter- national women's day, series events, talks female leaders, volunteering, health promotion program.",employee networking communication proud promote events gatherings female employ ees create culture promotes womens rights employ ees voluntarily formed employee resource groups ergs ded icated di strive enhance networking opportunities female employees united states hold seoul sisters con ference support benchmark various di programs inter national womens day series events talks female leaders volunteering health promotion program, employe network commun proud promot event gather femal employ ee creat cultur promot women right employ ee voluntarili form employe resourc group erg ded icat di strive enhanc network opportun femal employe unit state hold seoul sister con ferenc support benchmark variou di program inter nation women day seri event talk femal leader volunt health promot program ,0,0,0,3,1,9,1,1
614,614,"2) south korea: classified according act protection, etc. fixed-term part-time workers, overseas: contractor + apprentice 3) recategorized previous 'manufacturing' job function 'manufacturing', 'quality assurance & environment, health safety' job functions 4) including working flexible work hours holding positions 5) including executives global worksites hold vice president position 6) ratio employees resigned concerned fiscal year average no. employees",2 south korea classified according act protection etc fixedterm parttime workers overseas contractor + apprentice 3 recategorized previous manufacturing job function manufacturing quality assurance  environment health safety job functions 4 including working flexible work hours holding positions 5 including executives global worksites hold vice president position 6 ratio employees resigned concerned fiscal year average no employees, 2 south korea classifi accord act protect etc fixedterm parttim worker oversea contractor + apprentic 3 recategor previou manufactur job function manufactur qualiti assur  environ health safeti job function 4 includ work flexibl work hour hold posit 5 includ execut global worksit hold vice presid posit 6 ratio employe resign concern fiscal year averag no employe ,6,0,4,9,1,4,5,0
133,133,"minimal use resources recycled plastic 2009, set goal increase use recycled plastic reach 500,000 tonnes cumulative basis 2030. achieve goal, 2019, used recycled plastics products ranging refrigerators, washing machines, air conditioners, tvs, monitors, mobile phone chargers. addition, 30,000 tonnes recycled plastics, includ- ing post consumer materials (pcm) plastics recycled e-waste, used product manufacturing.",minimal use resources recycled plastic 2009 set goal increase use recycled plastic reach 500000 tonnes cumulative basis 2030 achieve goal 2019 used recycled plastics products ranging refrigerators washing machines air conditioners tvs monitors mobile phone chargers addition 30000 tonnes recycled plastics includ ing post consumer materials pcm plastics recycled ewaste used product manufacturing, minim use resourc recycl plastic 2009 set goal increas use recycl plastic reach 500000 tonn cumul basi 2030 achiev goal 2019 use recycl plastic product rang refriger wash machin air condition tv monitor mobil phone charger addit 30000 tonn recycl plastic includ ing post consum materi pcm plastic recycl ewast use product manufactur ,0,0,4,9,1,9,5,0
209,209,"principle transparent responsible business practices, board directors operate support management lead company innovative proactive manner. board directors helps management make right decisions reviewing resolving matters stipulated law articles incorporation, matters delegated general meeting shareholders, important matters related fundamental business poli- cies operations, well supervising managements actions. composition operation board directors determined articles incorporation regulations board directors, stricter standards stipulated commercial act south korea. enable us enhance indepen- dence, transparency, expertise, diversity board.",principle transparent responsible business practices board directors operate support management lead company innovative proactive manner board directors helps management make right decisions reviewing resolving matters stipulated law articles incorporation matters delegated general meeting shareholders important matters related fundamental business poli cies operations well supervising managements actions composition operation board directors determined articles incorporation regulations board directors stricter standards stipulated commercial act south korea enable us enhance indepen dence transparency expertise diversity board, principl transpar respons busi practic board director oper support manag lead compani innov proactiv manner board director help manag make right decis review resolv matter stipul law articl incorpor matter deleg gener meet sharehold import matter relat fundament busi poli cie oper well supervis manag action composit oper board director determin articl incorpor regul board director stricter standard stipul commerci act south korea enabl us enhanc indepen denc transpar expertis divers board ,6,0,7,7,1,4,3,2
208,208,"[goal 16] promote peaceful inclusive societies sustainable development, provide access justice build effective, accountable inclusive institutions levels",goal 16 promote peaceful inclusive societies sustainable development provide access justice build effective accountable inclusive institutions levels, goal 16 promot peac inclus societi sustain develop provid access justic build effect account inclus institut level ,6,0,0,3,1,4,1,1
207,207,"protection personal data credit card transactions, passwords, health information stored electronic devices leaks, severely jeopardize safety individuals property. safeguard personal information cybersecurity risks, developed military-grade security platform called samsung knox. knox security plat- form consists highly secure multilayer defense security mechanisms protect data malicious software threats. also complies nine principles data protection already established. platform successfully met rigorous security requirements set governments major enterprises around world, providing business users robust mobile security solution. gradually expanding range knox security platform coverage smart phones, tablets smart tvs smart home appliances, iot 5g devices.",protection personal data credit card transactions passwords health information stored electronic devices leaks severely jeopardize safety individuals property safeguard personal information cybersecurity risks developed militarygrade security platform called samsung knox knox security plat form consists highly secure multilayer defense security mechanisms protect data malicious software threats also complies nine principles data protection already established platform successfully met rigorous security requirements set governments major enterprises around world providing business users robust mobile security solution gradually expanding range knox security platform coverage smart phones tablets smart tvs smart home appliances iot 5g devices, protect person data credit card transact password health inform store electron devic leak sever jeopard safeti individu properti safeguard person inform cybersecur risk develop militarygrad secur platform call samsung knox knox secur plat form consist highli secur multilay defens secur mechan protect data malici softwar threat also compli nine principl data protect alreadi establish platform success met rigor secur requir set govern major enterpris around world provid busi user robust mobil secur solut gradual expand rang knox secur platform coverag smart phone tablet smart tv smart home applianc iot 5g devic ,0,0,1,5,1,9,2,5
608,608,corporate citizenship total hours volunteered employees global-wide volunteer hours per employee accumulated no. beneficiaries corporate citizenship programs,corporate citizenship total hours volunteered employees globalwide volunteer hours per employee accumulated no beneficiaries corporate citizenship programs, corpor citizenship total hour volunt employe globalwid volunt hour per employe accumul no beneficiari corpor citizenship program ,0,0,0,3,1,9,1,1
578,578,samsung electronics sustainability management value com- posed financial socio- economic environmental values calculated positive (+) negative (-). financial value,samsung electronics sustainability management value com posed financial socio economic environmental values calculated positive + negative  financial value, samsung electron sustain manag valu com pose financi socio econom environment valu calcul posit + neg  financi valu ,0,0,9,0,1,9,5,3
142,142,"galaxy upcycling - used mobile phone turned iot device galaxy upcycling program trans- forms samsung galaxy phones longer use internet things (iot) devices contribute envi- ronment society. since 2017, supported development medical device screen eye diseases, resulted production med- ical device costs 10% price commercial device. 2019, total 90 devices distributed vietnam, enabling preemptive eye check- ups 14,000 people.",galaxy upcycling  used mobile phone turned iot device galaxy upcycling program trans forms samsung galaxy phones longer use internet things iot devices contribute envi ronment society since 2017 supported development medical device screen eye diseases resulted production med ical device costs 10 price commercial device 2019 total 90 devices distributed vietnam enabling preemptive eye check ups 14000 people, galaxi upcycl  use mobil phone turn iot devic galaxi upcycl program tran form samsung galaxi phone longer use internet thing iot devic contribut envi ronment societi sinc 2017 support develop medic devic screen eye diseas result product med ical devic cost 10 price commerci devic 2019 total 90 devic distribut vietnam enabl preemptiv eye check up 14000 peopl ,0,0,9,0,1,9,2,3
203,203,"actions cybersecurity enhancement established process detection, analysis, prevention, protection four core actions cyberse- curity. design products implement security solutions based four areas.",actions cybersecurity enhancement established process detection analysis prevention protection four core actions cyberse curity design products implement security solutions based four areas, action cybersecur enhanc establish process detect analysi prevent protect four core action cybers curiti design product implement secur solut base four area ,6,0,0,8,1,4,8,1
636,636,intensity withdrawls (usage) wastewater discharge reused water rate water reused supply ultra-pure water reuse recovery ultra-pure water reuse recovery rate ultra-pure water suppliers water withdrawls (usage),intensity withdrawls usage wastewater discharge reused water rate water reused supply ultrapure water reuse recovery ultrapure water reuse recovery rate ultrapure water suppliers water withdrawls usage, intens withdrawl usag wastewat discharg reus water rate water reus suppli ultrapur water reus recoveri ultrapur water reus recoveri rate ultrapur water supplier water withdrawl usag ,6,0,9,9,1,4,5,0
168,168,"description based assessment result worksites monitoring system, select two three worksites every six months require capabilities enhancement general improvements business division select six experts labor human rights self assessment sites based inspection checklist on-site audits based 139 criteria using rba standards samsung electronics' standards share inspection results management team respective worksite establish future improvement plans measures prevent recurrence within one week completion inspection implement improvement tasks forming task force consisting experts human resources environmental safety monitor progress improvement tasks monthly basis via worksite monitoring system",description based assessment result worksites monitoring system select two three worksites every six months require capabilities enhancement general improvements business division select six experts labor human rights self assessment sites based inspection checklist onsite audits based 139 criteria using rba standards samsung electronics standards share inspection results management team respective worksite establish future improvement plans measures prevent recurrence within one week completion inspection implement improvement tasks forming task force consisting experts human resources environmental safety monitor progress improvement tasks monthly basis via worksite monitoring system, descript base assess result worksit monitor system select two three worksit everi six month requir capabl enhanc gener improv busi divis select six expert labor human right self assess site base inspect checklist onsit audit base 139 criteria use rba standard samsung electron standard share inspect result manag team respect worksit establish futur improv plan measur prevent recurr within one week complet inspect implement improv task form task forc consist expert human resourc environment safeti monitor progress improv task monthli basi via worksit monitor system ,6,0,4,9,1,4,1,0
302,302,"reduced yearly energy consumption 31% (compared nt940x3m) battery life increase 3x application smart charging technology energy winner awards year, energy star award",reduced yearly energy consumption 31 compared nt940x3m battery life increase 3x application smart charging technology energy winner awards year energy star award, reduc yearli energi consumpt 31 compar nt940x3m batteri life increas 3x applic smart charg technolog energi winner award year energi star award ,6,0,1,5,1,4,2,5
24,24,reduction resource waste: applied modular design separate combine products replace door panels bespoke refrigerator,reduction resource waste applied modular design separate combine products replace door panels bespoke refrigerator, reduct resourc wast appli modular design separ combin product replac door panel bespok refriger ,6,0,0,3,1,4,1,1
476,476,"footnotes: 1) limited manual processing 2) occupational safety health act, south korea 3) international agency research cancer",footnotes 1 limited manual processing 2 occupational safety health act south korea 3 international agency research cancer, footnot 1 limit manual process 2 occup safeti health act south korea 3 intern agenc research cancer ,6,0,0,3,1,4,1,1
373,373,"2015, initiated c-lab spin-off program nurture high-potential ideas help establish independent business. spin-offs received support seed funding, mentor- ing, consulting more. left start spin-off choose return company within five years. encourages participants try start business without fear failure. end 2019, 147 people set 40 companies program, providing significant contribution job creation.",2015 initiated clab spinoff program nurture highpotential ideas help establish independent business spinoffs received support seed funding mentor ing consulting more left start spinoff choose return company within five years encourages participants try start business without fear failure end 2019 147 people set 40 companies program providing significant contribution job creation, 2015 initi clab spinoff program nurtur highpotenti idea help establish independ busi spinoff receiv support seed fund mentor ing consult more left start spinoff choos return compani within five year encourag particip tri start busi without fear failur end 2019 147 peopl set 40 compani program provid signific contribut job creation ,6,0,4,3,1,4,1,0
370,370,"c-lab inside c-lab inside internal idea incubation program designed help employees realize creative ideas encourage spirit challenge throughout organization. c-lab inside, aim uncover new areas business fuel future growth. program enables employees assimilate research culture start-ups promote innovation return jobs.",clab inside clab inside internal idea incubation program designed help employees realize creative ideas encourage spirit challenge throughout organization clab inside aim uncover new areas business fuel future growth program enables employees assimilate research culture startups promote innovation return jobs, clab insid clab insid intern idea incub program design help employe realiz creativ idea encourag spirit challeng throughout organ clab insid aim uncov new area busi fuel futur growth program enabl employe assimil research cultur startup promot innov return job ,0,0,0,3,1,9,1,1
32,32,"based advanced technology, experience, business portfolio, launched world's first 5g home service united states october 2018 commer- cialized world's first mobile 5g service south korea april 2019. japan, played key role commercial launch 5g march 2020, actively expanding market north america, oceania, southeast asia, europe, based experience first world commercialize 5g leading telecom operators.",based advanced technology experience business portfolio launched worlds first 5g home service united states october 2018 commer cialized worlds first mobile 5g service south korea april 2019 japan played key role commercial launch 5g march 2020 actively expanding market north america oceania southeast asia europe based experience first world commercialize 5g leading telecom operators, base advanc technolog experi busi portfolio launch world first 5g home servic unit state octob 2018 commer cializ world first mobil 5g servic south korea april 2019 japan play key role commerci launch 5g march 2020 activ expand market north america oceania southeast asia europ base experi first world commerci 5g lead telecom oper ,0,0,0,3,1,9,1,1
482,482,"8.8. protect labour rights promote safe secure working environments workers, including migrant workers, particular women migrants, precarious employment",88 protect labour rights promote safe secure working environments workers including migrant workers particular women migrants precarious employment, 88 protect labour right promot safe secur work environ worker includ migrant worker particular women migrant precari employ ,6,0,0,8,1,4,8,1
379,379,"end 2019, supported 122 external start-ups c-lab outside. addition, held demo day novem- ber 2019 showcase progress achieved start-ups supported past year provide opportunities collaboration.",end 2019 supported 122 external startups clab outside addition held demo day novem ber 2019 showcase progress achieved startups supported past year provide opportunities collaboration, end 2019 support 122 extern startup clab outsid addit held demo day novem ber 2019 showcas progress achiev startup support past year provid opportun collabor ,0,0,4,3,1,9,1,0
364,364,"samsung hope school vietnam opened first school bac ninh 2013, second school thai nguyen 2018, plan open third hope school bac giang 2020. samsung hope school provides underprivileged students region after-school courses english physical education, facilities free evening meals.",samsung hope school vietnam opened first school bac ninh 2013 second school thai nguyen 2018 plan open third hope school bac giang 2020 samsung hope school provides underprivileged students region afterschool courses english physical education facilities free evening meals, samsung hope school vietnam open first school bac ninh 2013 second school thai nguyen 2018 plan open third hope school bac giang 2020 samsung hope school provid underprivileg student region afterschool cours english physic educ facil free even meal ,6,0,9,0,1,4,2,3
532,532,monitor data first-tier suppliers use conflict-affected high-risk minerals well smelters use minerals along supply chain,monitor data firsttier suppliers use conflictaffected highrisk minerals well smelters use minerals along supply chain, monitor data firsttier supplier use conflictaffect highrisk miner well smelter use miner along suppli chain ,6,0,4,9,1,4,5,0
